"序號","分類","字母","級別","單字或片語","詞性","中文釋義","中文釋義原文","考題出現次數","來源"
"1950","國中會考英文常用2000字詞","U","基本1200","under","副詞 / 介系詞","在下面,在下方;從屬地; 在…下面","[副詞] 在下面,在下方;從屬地; [介系詞] 在…下面","31","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=U&MainCategoryID=2"
"1951","國中會考英文常用2000字詞","U","常用800","underline","動詞 / 名詞","劃線於...之下;強調; 底線","[動詞] 劃線於...之下;強調; [名詞] 底線","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=U&MainCategoryID=2"
"1952","國中會考英文常用2000字詞","U","常用800","underpass","名詞","地下通道","[名詞] 地下通道","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=U&MainCategoryID=2"
"1953","國中會考英文常用2000字詞","U","基本1200","understand","動詞","了解","[動詞] 了解","33","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=U&MainCategoryID=2"
"1954","國中會考英文常用2000字詞","U","常用800","underwear","名詞","內衣","[名詞] 內衣","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=U&MainCategoryID=2"
"1955","國中會考英文常用2000字詞","U","基本1200","unhappy","形容詞","不快樂的","[形容詞] 不快樂的","9","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=U&MainCategoryID=2"
"1956","國中會考英文常用2000字詞","U","基本1200","uniform","形容詞 / 動詞 / 名詞","相同的,一致的;不變的; 使成一樣;使一律化; 制服","[形容詞] 相同的,一致的;不變的; [動詞] 使成一樣;使一律化; [名詞] 制服","5","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=U&MainCategoryID=2"
"1957","國中會考英文常用2000字詞","U","常用800","unique","形容詞 / 名詞","獨特的; 獨一無二的人(或事物)","[形容詞] 獨特的; [名詞] 獨一無二的人(或事物)","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=U&MainCategoryID=2"
"1958","國中會考英文常用2000字詞","U","常用800","universe","名詞","宇宙","[名詞] 宇宙","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=U&MainCategoryID=2"
"1959","國中會考英文常用2000字詞","U","常用800","university","名詞","大學","[名詞] 大學","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=U&MainCategoryID=2"
"1960","國中會考英文常用2000字詞","U","基本1200","until","介系詞 / 連接詞","直到; 直到...時","[介系詞] 直到; [連接詞] 直到...時","30","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=U&MainCategoryID=2"
"1961","國中會考英文常用2000字詞","U","基本1200","up","形容詞 / 動詞 / 副詞 / 介系詞 / 名詞","向上的;上行的; 提高;增加;舉起;突然站起; 向上; 向...上; 上升;走運","[形容詞] 向上的;上行的; [動詞] 提高;增加;舉起;突然站起; [副詞] 向上; [介系詞] 向...上; [名詞] 上升;走運","92","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=U&MainCategoryID=2"
"1962","國中會考英文常用2000字詞","U","基本1200","upload","動詞 / 名詞","上載,上傳（資訊）; 上傳","[動詞] 上載,上傳（資訊）; [名詞] 上傳","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=U&MainCategoryID=2"
"1963","國中會考英文常用2000字詞","U","常用800","upon","介系詞","在...之上","[介系詞] 在...之上","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=U&MainCategoryID=2"
"1964","國中會考英文常用2000字詞","U","常用800","upper","形容詞 / 名詞","較高的; 鞋幫;上舖;上排假牙","[形容詞] 較高的; [名詞] 鞋幫;上舖;上排假牙","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=U&MainCategoryID=2"
"1965","國中會考英文常用2000字詞","U","常用800","upstairs","形容詞 / 副詞 / 名詞","樓上的; 樓上地; 樓上","[形容詞] 樓上的; [副詞] 樓上地; [名詞] 樓上","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=U&MainCategoryID=2"
"1966","國中會考英文常用2000字詞","U","基本1200","us","代名詞","我們 (受格)","[代名詞] 我們 (受格)","81","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=U&MainCategoryID=2"
"1967","國中會考英文常用2000字詞","U","基本1200","USA","縮寫","美國 (United States of America)","[縮寫] 美國 (United States of America)","3","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=U&MainCategoryID=2"
"1968","國中會考英文常用2000字詞","U","基本1200","use","動詞 / 名詞","利用; 用途","[動詞] 利用; [名詞] 用途","44","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=U&MainCategoryID=2"
"1969","國中會考英文常用2000字詞","U","基本1200","useful","形容詞","有用的","[形容詞] 有用的","13","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=U&MainCategoryID=2"
"1970","國中會考英文常用2000字詞","U","常用800","usual","形容詞","例常的","[形容詞] 例常的","36","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=U&MainCategoryID=2"
"1971","國中會考英文常用2000字詞","U","基本1200","usually","副詞","通常地;慣常地","[副詞] 通常地;慣常地","36","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=U&MainCategoryID=2"
"1972","國中會考英文常用2000字詞","V","基本1200","vacation","動詞 / 名詞","度假; 假期","[動詞] 度假; [名詞] 假期","26","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=V&MainCategoryID=2"
"1973","國中會考英文常用2000字詞","V","常用800","valley","名詞","山谷","[名詞] 山谷","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=V&MainCategoryID=2"
"1974","國中會考英文常用2000字詞","V","常用800","valuable","形容詞","有價值的","[形容詞] 有價值的","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=V&MainCategoryID=2"
"1975","國中會考英文常用2000字詞","V","常用800","value","動詞 / 名詞","估價,評價;尊重;重視; 價值","[動詞] 估價,評價;尊重;重視; [名詞] 價值","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=V&MainCategoryID=2"
"1976","國中會考英文常用2000字詞","V","基本1200","vegetable","形容詞 / 名詞","蔬菜的;植物的; 蔬菜","[形容詞] 蔬菜的;植物的; [名詞] 蔬菜","8","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=V&MainCategoryID=2"
"1977","國中會考英文常用2000字詞","V","常用800","vendor","名詞","小販","[名詞] 小販","5","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=V&MainCategoryID=2"
"1978","國中會考英文常用2000字詞","V","基本1200","very","形容詞 / 副詞","正是;恰好是;僅僅; 很;非常","[形容詞] 正是;恰好是;僅僅; [副詞] 很;非常","157","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=V&MainCategoryID=2"
"1979","國中會考英文常用2000字詞","V","常用800","vest","名詞","背心","[名詞] 背心","1","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=V&MainCategoryID=2"
"1980","國中會考英文常用2000字詞","V","常用800","victory","名詞","勝利","[名詞] 勝利","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=V&MainCategoryID=2"
"1981","國中會考英文常用2000字詞","V","基本1200","video","形容詞 / 動詞 / 名詞","電視的;電視影像的;錄影的; 錄製；給…錄影; 錄影機;錄影帶","[形容詞] 電視的;電視影像的;錄影的; [動詞] 錄製；給…錄影; [名詞] 錄影機;錄影帶","9","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=V&MainCategoryID=2"
"1982","國中會考英文常用2000字詞","V","常用800","village","名詞","村落","[名詞] 村落","6","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=V&MainCategoryID=2"
"1983","國中會考英文常用2000字詞","V","常用800","vinegar","名詞","醋","[名詞] 醋","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=V&MainCategoryID=2"
"1984","國中會考英文常用2000字詞","V","基本1200","violin","名詞","小提琴","[名詞] 小提琴","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=V&MainCategoryID=2"
"1985","國中會考英文常用2000字詞","V","基本1200","visit","動詞 / 名詞","訪問; 訪問","[動詞] 訪問; [名詞] 訪問","62","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=V&MainCategoryID=2"
"1986","國中會考英文常用2000字詞","V","基本1200","visitor","名詞","訪客","[名詞] 訪客","4","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=V&MainCategoryID=2"
"1987","國中會考英文常用2000字詞","V","常用800","vocabulary","名詞","字彙","[名詞] 字彙","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=V&MainCategoryID=2"
"1988","國中會考英文常用2000字詞","V","基本1200","voice","動詞 / 名詞","(用言語)表達,說出; (人的)聲音","[動詞] (用言語)表達,說出; [名詞] (人的)聲音","20","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=V&MainCategoryID=2"
"1989","國中會考英文常用2000字詞","V","常用800","volleyball","名詞","排球","[名詞] 排球","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=V&MainCategoryID=2"
"1990","國中會考英文常用2000字詞","V","常用800","vote","動詞 / 名詞","投票; 選舉,投票,表決","[動詞] 投票; [名詞] 選舉,投票,表決","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=V&MainCategoryID=2"
"1991","國中會考英文常用2000字詞","W","常用800","waist","名詞","腰","[名詞] 腰","","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=W&MainCategoryID=2"
"1992","國中會考英文常用2000字詞","W","基本1200","wait","動詞 / 名詞","等候; 等待;等待的時間","[動詞] 等候; [名詞] 等待;等待的時間","42","https://www.taiwantestcentral.com/wordlist/WordListByName.aspx?Letter=W&MainCategoryID=2"
